Timestamp,Chester_X,Chester_Y,Chester_Theta,Detected_Human_X,Detected_Human_Y,Detected_Distance,Detected_Confidence,True_Distance,Human_X,Human_Y
1746642430.2568,1.15233658653816,-0.564869183582805,-0.063128838487899,,,,,,1.968573,1.057352
1746642430.75288,1.15233651678218,-0.564869207873175,-0.063128558172348,,,,,,1.968573,1.057352
1746642431.25517,1.15233643532493,-0.56486927894365,-0.06312815220404,,,,,,1.968573,1.057352
1746642431.7527,1.1523366663371,-0.564869231886695,-0.063127840089002,1.31339275836945,0.018569385632873,1.31352400779724,0.851628065109253,1.31352400779724,1.968573,1.057352
1746642432.25291,1.16632641077287,-0.565742547420151,-0.061795898186747,1.31339275836945,0.018569385632873,1.31352400779724,0.851628065109253,1.31352400779724,1.968573,1.057352
1746642432.75353,1.17909185610119,-0.56652668867441,-0.060837108515328,1.31339275836945,0.018569385632873,1.31352400779724,0.851628065109253,1.31352400779724,1.968573,1.057352
1746642433.25611,1.19183911930329,-0.56729709279902,-0.059878939246344,1.31212389469147,0.01855144649744,1.31225502490997,0.846387028694153,1.31225502490997,1.968573,1.057352
1746642433.7547,1.20570265463573,-0.568121352642186,-0.058848019031117,1.28323447704315,0.015723928809166,1.28333079814911,0.859312415122986,1.28333079814911,1.968573,1.057352
1746642434.29881,1.21724117883433,-0.568796497149279,-0.058017904865309,1.28323447704315,0.015723928809166,1.28333079814911,0.859312415122986,1.28333079814911,1.968573,1.057352
1746642434.75787,1.22878048068933,-0.569462100901741,-0.057187326887392,1.28323447704315,0.015723928809166,1.28333079814911,0.859312415122986,1.28333079814911,1.968573,1.057352
1746642435.26486,1.23887745026051,-0.570036568635959,-0.056460596446871,1.28323447704315,0.015723928809166,1.28333079814911,0.859312415122986,1.28333079814911,1.968573,1.057352
1746642435.75335,1.24897501379637,-0.570603794008317,-0.055733813415492,1.23459899425507,0.194336369633675,1.24980056285858,0.889995992183685,1.24980056285858,1.968573,1.057352
